x-axis,1,2,F1
second,Volt,Ampere,Watt
+221.62500E-03,+317.33669061E+00,-1.38819094E+00,-440.94848633E+00
+221.65000E-03,+321.60804749E+00,-1.36683416E+00,-436.95831298E+00
+221.67500E-03,+329.39699239E+00,-1.32663315E+00,-439.36157227E+00
+221.70000E-03,+329.64824867E+00,-1.32663315E+00,-426.42211914E+00
+221.72500E-03,+329.64824867E+00,-1.28643215E+00,-437.10327148E+00
+221.75000E-03,+337.68844986E+00,-1.28643215E+00,-423.85864258E+00
+221.77500E-03,+337.93970614E+00,-1.28517587E+00,-434.17358398E+00
+221.80000E-03,+345.72865105E+00,-1.24623114E+00,-420.62377930E+00
+221.82500E-03,+345.72865105E+00,-1.20603014E+00,-430.63354492E+00
+221.85000E-03,+353.76885223E+00,-1.20603014E+00,-416.71752930E+00
+221.87500E-03,+361.55779714E+00,-1.20603014E+00,-426.42211914E+00
+221.90000E-03,+356.03015881E+00,-1.16582913E+00,-426.42211914E+00
+221.92500E-03,+361.80905342E+00,-1.14447235E+00,-421.60034180E+00
+221.95000E-03,+369.84925461E+00,-1.16582913E+00,-421.60034180E+00
+221.97500E-03,+369.84925461E+00,-1.12562813E+00,-407.35626220E+00
+222.00000E-03,+375.62814922E+00,-1.12562813E+00,-416.10717773E+00
+222.02500E-03,+382.16081267E+00,-1.08542712E+00,-418.01643370E+00
+222.05000E-03,+379.64824981E+00,-1.08542712E+00,-409.94262695E+00
+222.07500E-03,+385.92965698E+00,-1.04522612E+00,-409.94262695E+00
+222.10000E-03,+391.70855159E+00,-1.04522612E+00,-403.16772461E+00
+222.12500E-03,+390.20101385E+00,-1.00502511E+00,-403.16772461E+00
+222.15000E-03,+393.96985817E+00,-1.00502511E+00,-408.11920164E+00
