x-axis,F1
Hertz,decibel
+44.2500E+00,-81.09731E+00
+44.5000E+00,-78.82622E+00
+44.7500E+00,-76.65552E+00
+45.0000E+00,-89.25349E+00
+45.2500E+00,-78.34548E+00
+45.5000E+00,-74.31113E+00
+45.7500E+00,-74.44055E+00
+46.0000E+00,-74.29940E+00
+46.2500E+00,-76.44085E+00
+46.5000E+00,-73.96038E+00
+46.7500E+00,-85.96034E+00
+47.0000E+00,-71.06544E+00
+47.2500E+00,-69.46468E+00
+47.5000E+00,-73.86873E+00
+47.7500E+00,-74.67935E+00
+48.0000E+00,-70.28457E+00
+48.2500E+00,-64.67760E+00
+48.5000E+00,-59.72545E+00
+48.7500E+00,-54.05994E+00
+49.0000E+00,-49.89293E+00
+49.2500E+00,-42.76722E+00
+49.5000E+00,-27.10456E+00
+49.7500E+00,-3.87016E+00
+50.0000E+00,+4.84685E+00
+50.2500E+00,-6.63564E+00
+50.5000E+00,-30.90109E+00
+50.7500E+00,-42.71667E+00
+51.0000E+00,-50.70341E+00
+51.2500E+00,-57.14583E+00
+51.5000E+00,-57.54842E+00
+51.7500E+00,-68.75044E+00
+52.0000E+00,-75.15623E+00
+52.2500E+00,-71.86456E+00
+52.5000E+00,-75.38522E+00
+52.7500E+00,-72.08108E+00
+53.0000E+00,-71.44171E+00
+53.2500E+00,-74.24331E+00
+53.5000E+00,-73.17692E+00
+53.7500E+00,-80.91067E+00
+54.0000E+00,-82.33562E+00
+54.2500E+00,-80.37349E+00
+54.5000E+00,-85.17279E+00
+54.7500E+00,-79.62836E+00
+55.0000E+00,-81.13318E+00
+55.2500E+00,-82.83421E+00
+55.5000E+00,-84.58954E+00
+55.7500E+00,-84.61690E+00
+56.0000E+00,-81.84347E+00
+56.2500E+00,-79.78372E+00
+56.5000E+00,-80.71997E+00
+56.7500E+00,-77.46076E+00
+57.0000E+00,-79.90607E+00
+57.2500E+00,-84.57939E+00
+57.5000E+00,-79.59371E+00
+57.7500E+00,-78.46496E+00
+58.0000E+00,-73.43654E+00
+58.2500E+00,-73.82854E+00
+58.5000E+00,-79.31462E+00
+58.7500E+00,-86.70171E+00
+59.0000E+00,-76.80452E+00
+59.2500E+00,-77.15940E+00
+59.5000E+00,-82.72338E+00
+59.7500E+00,-85.18957E+00
+60.0000E+00,-83.46375E+00
+60.2500E+00,-81.04460E+00
+60.5000E+00,-79.27411E+00
+60.7500E+00,-83.64124E+00
+61.0000E+00,-85.26621E+00
+61.2500E+00,-86.08333E+00
+61.5000E+00,-74.46740E+00
+61.7500E+00,-83.07830E+00
+62.0000E+00,-82.55886E+00
+62.2500E+00,-77.44785E+00
+62.5000E+00,-73.67397E+00
+62.7500E+00,-78.52319E+00
+63.0000E+00,-85.54424E+00
+63.2500E+00,-74.95922E+00
+63.5000E+00,-82.56219E+00
+63.7500E+00,-84.44053E+00
+64.0000E+00,-81.10142E+00
+64.2500E+00,-77.14251E+00
+64.5000E+00,-77.46569E+00
+64.7500E+00,-87.57618E+00
+65.0000E+00,-86.43943E+00
+65.2500E+00,-79.78738E+00
+65.5000E+00,-89.53692E+00
+65.7500E+00,-86.91807E+00
+66.0000E+00,-83.70431E+00
+66.2500E+00,-76.41056E+00
+66.5000E+00,-87.01980E+00
+66.7500E+00,-84.20577E+00
+67.0000E+00,-80.22460E+00
+67.2500E+00,-74.72596E+00
+67.5000E+00,-83.57772E+00
+67.7500E+00,-81.25411E+00
+68.0000E+00,-89.81396E+00
+68.2500E+00,-80.24092E+00
+68.5000E+00,-78.64195E+00
+68.7500E+00,-78.25938E+00
+69.0000E+00,-85.19070E+00
+69.2500E+00,-83.58683E+00
+69.5000E+00,-77.41626E+00
+69.7500E+00,-80.11901E+00
+70.0000E+00,-76.01333E+00
+70.2500E+00,-83.60920E+00
+70.5000E+00,-86.54149E+00
+70.7500E+00,-95.75561E+00
+71.0000E+00,-80.59943E+00
+71.2500E+00,-76.88844E+00
+71.5000E+00,-79.99643E+00
+71.7500E+00,-79.70234E+00
+72.0000E+00,-83.97830E+00
+72.2500E+00,-79.31959E+00
+72.5000E+00,-85.41990E+00
+72.7500E+00,-78.90511E+00
+73.0000E+00,-83.42091E+00
+73.2500E+00,-89.14605E+00
+73.5000E+00,-76.33507E+00
+73.7500E+00,-78.59119E+00
+74.0000E+00,-82.85593E+00
+74.2500E+00,-80.76438E+00
+74.5000E+00,-85.94750E+00
+74.7500E+00,-79.39462E+00
+75.0000E+00,-87.85708E+00
+75.2500E+00,-104.90898E+00
+75.5000E+00,-83.43995E+00
+75.7500E+00,-87.89542E+00
+76.0000E+00,-78.48603E+00
+76.2500E+00,-74.70887E+00
+76.5000E+00,-81.44390E+00
+76.7500E+00,-87.70076E+00
+77.0000E+00,-83.88378E+00
+77.2500E+00,-78.37707E+00
+77.5000E+00,-85.61152E+00
